Address,Volume,Number_of_Transactions,Number_of_Received_Transactions,Number_of_Sent_Transactions,Amount Received,Amount_Sent,Mean_of_Received,Mean_of_Sent,Stddev_of_Received,Stddev_of_Sent,Maximum_Amount_of_Sent_&_Received,Last_Balance
0x6546055f46e866a4B9a4A13e81273e3152BAE5dA,4026820191,3728,1797,1931,1997151158,2029669033,1111380.7223149694,1051097.3759709995,1511333.6231899713,1677162.5365123276,18901338,12834642
0x9008D19f58AAbD9eD0D60971565AA8510560ab41,179155907,105,54,51,89480461,89675446,1657045.5740740742,1758342.0784313725,1526022.1068359348,1792572.2017349417,10000000,54165
0xBb98E9Df4Ce996762785b867f0b09746F4eFe79B,52224078,8,8,0,52224078,0,6528009.75,0,6366692.287756507,0,16652044,52224078
0x5bdf85216ec1e38D6458C870992A69e38e03F7Ef,420972126,107,39,68,217404918,203567208,5574485.076923077,2993635.411764706,6709687.577007345,7578965.943051924,50000000,63336411
0x35E2a11f743A43F00381A0aEb6764322eF1Eb788,99829444,8,4,4,49914722,49914722,12478680.5,12478680.5,4198101.042828322,4198101.042828322,16698840,0
0x6cC5F688a315f3dC28A7781717a9A798a59fDA7b,6753444012,705,268,437,3284451969,3468992043,12255417.79477612,7938196.894736842,50297977.081701376,27713298.938275564,500001000,692615340
0xE37e799D5077682FA0a244D46E5649F71457BD09,535833760,302,131,171,267916880,267916880,2045167.0229007634,1566765.380116959,2173973.4389592055,2281934.5932563194,16698840,1
0x77134cbC06cB00b66F4c7e623D5fdBF6777635EC,30278843324,300,122,178,15902030227,14376813097,130344510.05737706,80768612.90449437,404763845.77509415,279464082.08047664,3006571630,1982034414
0x92814cb59107a1418c9596e09551FDBe7BC45551,959933872,24,12,12,479966936,479966936,39997244.666666664,39997244.666666664,21313771.021006167,21313771.021006167,80000000,0
0xf23FdA58C7B927AbaE31a3c83809424F748C5B88,271298,1,0,1,0,271298,0,271298.0,0,0.0,271298,0
0xad3b67BCA8935Cb510C8D18bD45F0b94F54A968f,31458699,33,15,18,15721683,15737016,1048112.2,874278.6666666666,889346.9002254931,890323.1703526409,2882863,1
0x3aB28eCeDEa6cdb6feeD398E93Ae8c7b316B1182,32409620,1,0,1,0,32409620,0,32409620.0,0,0.0,32409620,0
0x6D0D19bddDC5ED1dD501430c9621DD37ebd9062d,88483390,28,5,23,52720330,35763060,10544066.0,1554915.652173913,11815754.831668707,997518.469890358,32409620,16957270
0x0f3563D5A39f6Add7E60630BD14f9D8dED0CDC5e,16628580,17,9,8,7324457,9304123,813828.5555555555,1163015.375,764084.4459395122,532876.9645187662,2028398,4000000
0x87f763BB415abE13419632605e62697c98EDAfC1,149758,1,1,0,149758,0,149758.0,0,0.0,0,149758,149758
0xC4334A9AF50C80A12C484de643149f6159Bdd110,44702639,78,9,69,16673824,28028815,1852647.111111111,406214.71014492755,1847552.7430017882,809391.1418448805,6569384,7893
0x9B6378Fb1A3b76DBC07a0Be70Cdc4d69a7b0132a,355723,1,1,0,355723,0,355723.0,0,0.0,0,355723,355723
0x5770815B0c2a09A43C9E5AEcb7e2f3886075B605,3957990683,28,11,17,2070990683,1887000000,188271880.27272728,111000000.0,213368114.49321827,155667821.29982835,549999114,715981249
0x8D6826ceb7dF7f03d2CD94eC681638258764fbd2,13326649,37,17,20,5339506,7987143,314088.5882352941,399357.15,212410.9424175525,198634.828577537,944158,82099
0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,568157232,1772,604,1168,284078616,284078616,470328.8344370861,243217.99315068492,896398.0448480295,692596.8696239318,5179815,0
0xA88800CD213dA5Ae406ce248380802BD53b47647,38357004,40,20,20,19178502,19178502,958925.1,958925.1,954936.9644645085,954936.9644645085,2809244,0
